Timestamp,Topic,Rate(Hz)
2026-04-06 20:11:45,/clicked_point,0.0
2026-04-06 20:11:50,/goal_pose,0.0
2026-04-06 20:11:55,/initialpose,0.0
2026-04-06 20:12:00,/merged_cloud,0.0
2026-04-06 20:12:05,/parameter_events,0.0
2026-04-06 20:12:10,/rosout,197.63
2026-04-06 20:12:15,/tf,0.0
2026-04-06 20:12:20,/tf_static,0.0
2026-04-06 20:12:25,/zed1/joint_states,0.0
2026-04-06 20:12:30,/zed1/zed_node/point_cloud/cloud_registered,1.78
2026-04-06 20:12:35,/zed2/joint_states,0.0
2026-04-06 20:12:40,/zed2/robot_description,0.0
2026-04-06 20:12:45,/zed2/zed_node/point_cloud/cloud_registered,0.0
2026-04-06 20:12:51,/clicked_point,0.0
2026-04-06 20:12:56,/diagnostics,0.0
2026-04-06 20:13:01,/goal_pose,0.0
2026-04-06 20:13:06,/initialpose,0.0
2026-04-06 20:13:11,/merged_cloud,0.0
2026-04-06 20:13:16,/parameter_events,0.0
2026-04-06 20:13:21,/rosout,192.79
2026-04-06 20:13:26,/tf,0.0
2026-04-06 20:13:31,/tf_static,0.0
2026-04-06 20:13:36,/zed1/joint_states,0.0
2026-04-06 20:13:41,/zed1/robot_description,0.0
2026-04-06 20:13:46,/zed1/zed_node/depth/camera_info,0.0
2026-04-06 20:13:51,/zed1/zed_node/depth/depth_registered,3.93
2026-04-06 20:13:56,/zed1/zed_node/depth/depth_registered/camera_info,15.01
2026-04-06 20:14:01,/zed1/zed_node/depth/depth_registered/compressed,0.0
2026-04-06 20:14:06,/zed1/zed_node/depth/depth_registered/compressedDepth,13.96
2026-04-06 20:14:11,/zed1/zed_node/depth/depth_registered/theora,0.0
2026-04-06 20:14:16,/zed1/zed_node/imu/data,99.65
2026-04-06 20:14:21,/zed1/zed_node/odom,29.06
2026-04-06 20:14:26,/zed1/zed_node/point_cloud/cloud_registered,2.94
2026-04-06 20:14:31,/zed1/zed_node/pose,27.97
2026-04-06 20:14:36,/zed1/zed_node/pose/status,29.95
2026-04-06 20:14:41,/zed1/zed_node/rgb/color/rect/camera_info,0.0
2026-04-06 20:14:46,/zed1/zed_node/rgb/color/rect/image,7.43
2026-04-06 20:14:51,/zed1/zed_node/rgb/color/rect/image/camera_info,0.0
2026-04-06 20:14:56,/zed1/zed_node/rgb/color/rect/image/compressed,15.04
