04-10-2026 18:04:27 RAM 5267/15655MB (lfb 12x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@1984,0%@1984,0%@1984,0%@1984,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@37.656C cpu@41.906C soc2@36.25C soc0@39.093C cv1@38.312C gpu@40.625C tj@41.906C soc1@37.218C cv2@33.75C VDD_IN 4798mW/5310mW VDD_CPU_GPU_CV 644mW/1052mW VDD_SOC 1408mW/1432mW
04-10-2026 18:04:27 RAM 5267/15655MB (lfb 12x4MB) SWAP 0/7828MB (cached 0MB) CPU [9%@1984,0%@1984,0%@1984,0%@1984,0%@729,0%@729,9%@729,0%@729] GR3D_FREQ 0% cv0@37.718C cpu@42.031C soc2@36.218C soc0@39.156C cv1@38.281C gpu@40.531C tj@41.875C soc1@37.343C cv2@33.718C VDD_IN 4838mW/5279mW VDD_CPU_GPU_CV 644mW/1025mW VDD_SOC 1408mW/1431mW
04-10-2026 18:04:27 RAM 5267/15655MB (lfb 12x4MB) SWAP 0/7828MB (cached 0MB) CPU [16%@729,0%@729,0%@729,0%@1984,0%@729,0%@729,9%@729,0%@729] GR3D_FREQ 0% cv0@37.656C cpu@41.781C soc2@36.156C soc0@39.093C cv1@38.375C gpu@40.531C tj@41.781C soc1@37.406C cv2@33.75C VDD_IN 4798mW/5249mW VDD_CPU_GPU_CV 644mW/1001mW VDD_SOC 1408mW/1429mW
04-10-2026 18:04:27 RAM 5267/15655MB (lfb 12x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,8%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@37.593C cpu@42.093C soc2@36.25C soc0@39.125C cv1@38.218C gpu@40.375C tj@42.093C soc1@37.25C cv2@33.812C VDD_IN 4798mW/5222mW VDD_CPU_GPU_CV 603mW/978mW VDD_SOC 1408mW/1428mW
04-10-2026 18:04:27 RAM 5267/15655MB (lfb 12x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@729,0%@1984,0%@1984,0%@1984,9%@729,9%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@37.625C cpu@41.687C soc2@36.156C soc0@39.187C cv1@38.25C gpu@40.468C tj@41.687C soc1@37.343C cv2@33.843C VDD_IN 4757mW/5196mW VDD_CPU_GPU_CV 603mW/957mW VDD_SOC 1408mW/1427mW
04-10-2026 18:04:27 RAM 5267/15655MB (lfb 12x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@729,0%@729,8%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@37.687C cpu@41.906C soc2@36.218C soc0@39.031C cv1@38.375C gpu@40.312C tj@41.906C soc1@37.187C cv2@33.812C VDD_IN 4757mW/5173mW VDD_CPU_GPU_CV 603mW/938mW VDD_SOC 1408mW/1426mW
04-10-2026 18:04:27 RAM 5267/15655MB (lfb 12x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@1984,0%@1984,0%@1984,0%@1984,8%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@37.593C cpu@41.968C soc2@36.187C soc0@39.093C cv1@38.218C gpu@40.281C tj@41.968C soc1@37.156C cv2@33.843C VDD_IN 4757mW/5152mW VDD_CPU_GPU_CV 603mW/921mW VDD_SOC 1408mW/1425mW
04-10-2026 18:04:28 RAM 5267/15655MB (lfb 12x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@1984,0%@1984,0%@1984,0%@1984,0%@729,0%@729,0%@729,9%@729] GR3D_FREQ 0% cv0@37.687C cpu@41.843C soc2@36.218C soc0@39.187C cv1@38.312C gpu@40.25C tj@41.843C soc1@37.375C cv2@33.781C VDD_IN 4757mW/5134mW VDD_CPU_GPU_CV 603mW/906mW VDD_SOC 1408mW/1424mW
04-10-2026 18:04:28 RAM 5267/15655MB (lfb 12x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,9%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@37.593C cpu@41.812C soc2@36.218C soc0@39.156C cv1@38.25C gpu@40.531C tj@41.812C soc1@37.25C cv2@33.718C VDD_IN 4757mW/5116mW VDD_CPU_GPU_CV 603mW/892mW VDD_SOC 1408mW/1423mW
04-10-2026 18:04:28 RAM 5267/15655MB (lfb 12x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@1984,0%@1984,0%@1984,0%@1984,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@37.562C cpu@41.781C soc2@36.093C soc0@39.125C cv1@38.25C gpu@40.281C tj@41.781C soc1@37.25C cv2@33.843C VDD_IN 4717mW/5099mW VDD_CPU_GPU_CV 603mW/880mW VDD_SOC 1408mW/1423mW
04-10-2026 18:04:28 RAM 5267/15655MB (lfb 12x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@1984,0%@1984,0%@1984,0%@1984,9%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@37.656C cpu@41.781C soc2@36.156C soc0@39.062C cv1@38.312C gpu@40.593C tj@41.781C soc1@37.343C cv2@33.781C VDD_IN 4717mW/5083mW VDD_CPU_GPU_CV 603mW/868mW VDD_SOC 1408mW/1422mW
04-10-2026 18:04:28 RAM 5267/15655MB (lfb 12x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@729,0%@729,0%@729,9%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@37.625C cpu@41.875C soc2@36.25C soc0@39.125C cv1@38.218C gpu@40.5C tj@41.875C soc1@37.187C cv2@33.718C VDD_IN 4717mW/5069mW VDD_CPU_GPU_CV 603mW/858mW VDD_SOC 1408mW/1422mW
04-10-2026 18:04:28 RAM 5267/15655MB (lfb 12x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@1984,0%@1984,0%@1984,0%@1984,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@37.625C cpu@42C soc2@36.218C soc0@39.187C cv1@38.25C gpu@40.468C tj@41.781C soc1@37.25C cv2@33.812C VDD_IN 4717mW/5055mW VDD_CPU_GPU_CV 563mW/846mW VDD_SOC 1408mW/1421mW
04-10-2026 18:04:28 RAM 5267/15655MB (lfb 12x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@37.687C cpu@41.781C soc2@36.156C soc0@39.062C cv1@38.312C gpu@40.312C tj@41.781C soc1@37.125C cv2@33.718C VDD_IN 4717mW/5043mW VDD_CPU_GPU_CV 563mW/836mW VDD_SOC 1408mW/1421mW
04-10-2026 18:04:28 RAM 5267/15655MB (lfb 12x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@729,8%@1984,0%@1984,0%@1984,9%@729,8%@729,0%@729,15%@729] GR3D_FREQ 0% cv0@37.593C cpu@41.687C soc2@36.218C soc0@39.093C cv1@38.25C gpu@40.437C tj@41.687C soc1@37.281C cv2@33.75C VDD_IN 4717mW/5031mW VDD_CPU_GPU_CV 563mW/826mW VDD_SOC 1408mW/1420mW
04-10-2026 18:04:28 RAM 5267/15655MB (lfb 12x4MB) SWAP 0/7828MB (cached 0MB) CPU [9%@729,0%@1984,0%@1984,0%@1984,0%@729,0%@729,0%@729,9%@729] GR3D_FREQ 0% cv0@37.625C cpu@41.718C soc2@36.156C soc0@39.062C cv1@38.281C gpu@40.312C tj@41.718C soc1@37.375C cv2@33.718C VDD_IN 4717mW/5020mW VDD_CPU_GPU_CV 563mW/817mW VDD_SOC 1408mW/1420mW
04-10-2026 18:04:29 RAM 5267/15655MB (lfb 12x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@1984,0%@1984,0%@1984,0%@1984,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@37.562C cpu@41.937C soc2@36.25C soc0@39.031C cv1@38.218C gpu@40.343C tj@41.937C soc1@37.156C cv2@33.687C VDD_IN 4717mW/5010mW VDD_CPU_GPU_CV 563mW/809mW VDD_SOC 1408mW/1419mW
