Timestamp,Topic,Rate(Hz)
2026-04-06 19:03:23,/parameter_events,0.0
2026-04-06 19:03:26,/rosout,0.0
2026-04-06 19:03:31,/clicked_point,0.0
2026-04-06 19:03:34,/diagnostics,0.0
2026-04-06 19:03:37,/parameter_events,0.0
2026-04-06 19:03:40,/rosout,0.0
2026-04-06 19:03:43,/tf,0.0
2026-04-06 19:03:46,/tf_static,0.0
2026-04-06 19:03:49,/zed1/joint_states,0.0
2026-04-06 19:03:52,/zed1/robot_description,0.0
2026-04-06 19:03:55,/zed1/zed_node/depth/camera_info,0.0
2026-04-06 19:03:58,/zed1/zed_node/depth/depth_registered,0.0
2026-04-06 19:04:01,/zed1/zed_node/depth/depth_registered/camera_info,0.0
2026-04-06 19:04:04,/zed1/zed_node/depth/depth_registered/compressed,0.0
2026-04-06 19:04:07,/zed1/zed_node/depth/depth_registered/compressedDepth,0.0
2026-04-06 19:04:10,/zed1/zed_node/depth/depth_registered/theora,0.0
2026-04-06 19:04:13,/zed1/zed_node/imu/data,0.0
2026-04-06 19:04:16,/zed1/zed_node/odom,0.0
2026-04-06 19:04:19,/zed1/zed_node/point_cloud/cloud_registered,0.0
2026-04-06 19:04:22,/zed1/zed_node/pose,0.0
2026-04-06 19:04:25,/zed1/zed_node/pose/status,0.0
2026-04-06 19:04:28,/zed1/zed_node/rgb/color/rect/camera_info,0.0
2026-04-06 19:04:31,/zed1/zed_node/rgb/color/rect/image,0.0
2026-04-06 19:04:34,/zed1/zed_node/rgb/color/rect/image/camera_info,0.0
2026-04-06 19:04:37,/zed1/zed_node/rgb/color/rect/image/compressed,0.0
2026-04-06 19:04:40,/zed1/zed_node/rgb/color/rect/image/compressedDepth,0.0
2026-04-06 19:04:43,/zed1/zed_node/rgb/color/rect/image/theora,0.0
2026-04-06 19:04:46,/zed1/zed_node/status/health,0.0
2026-04-06 19:04:49,/zed1/zed_node/status/heartbeat,0.0
2026-04-06 19:04:54,/clicked_point,0.0
2026-04-06 19:04:57,/diagnostics,0.0
2026-04-06 19:05:00,/parameter_events,0.0
2026-04-06 19:05:03,/rosout,0.0
